|------------------------------------------------------------------------------------------|
|                                      WinMTR statistics                                   |
|                       Host              -   %  | Sent | Recv | Best | Avrg | Wrst | Last |
|------------------------------------------------|------|------|------|------|------|------|
|                             192.168.1.1 -    0 |  161 |  161 |    2 |    3 |   14 |    3 |
|                              10.45.5.87 -   35 |   70 |   46 |   28 |   32 |   76 |   33 |
|                             10.36.14.81 -   27 |   80 |   59 |   27 |   32 |   48 |   34 |
|                            10.37.41.238 -   38 |   66 |   41 |   28 |   31 |   44 |   32 |
|                              10.37.76.9 -   33 |   71 |   48 |   30 |   36 |   52 |   32 |
|                            10.37.44.153 -   32 |   72 |   49 |   32 |   38 |   76 |   39 |
|                             10.37.56.66 -   26 |   82 |   61 |   32 |   35 |   48 |   39 |
|          xe-11-1-3.cr0-mrs1.ip4.gtt.net -   33 |   71 |   48 |   88 |   91 |  111 |   88 |
|           xe-1-0-0.cr1-mil2.ip4.gtt.net -   32 |   72 |   49 |    0 |   78 |  136 |   72 |
|                 a100-row-gw.ip4.gtt.net -   33 |   70 |   47 |    0 |   96 |  104 |   96 |
|                   No response from host -  100 |   33 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 |   33 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 |   33 |    0 |    0 |    0 |    0 |    0 |
|server-52-85-17-244.mxp4.r.cloudfront.net -   23 |   86 |   67 |   93 |   95 |  108 |   94 |
|________________________________________________|______|______|______|______|______|______|
   WinMTR v0.92 GPL V2 by Appnor MSP - Fully Managed Hosting & Cloud Provider
